# Data Set (v1): ML-CUP17-TS
# Nov 2017
# ML-CUP17
# INFO: micheli@di.unipi.it
# (C) CIML group - Gallicchio, Micheli 2017
# 
# Format:
# Training set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
# Blind Test set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10

24,-0.122333,1.270111,0.163897,-1.427475,-0.745523,-0.971661,0.116696,0.885451,-1.221869,-1.049404
25,0.061016,0.932322,1.472697,-0.922329,-1.103839,-0.783145,1.454750,1.057095,-1.162075,-0.980509
26,1.252786,0.425639,1.056260,-0.669756,-0.506646,-1.348691,1.666021,0.656592,-1.221869,-0.429348
27,-0.122333,-1.094412,-1.204393,1.224540,0.926617,0.630721,-0.939661,-0.945421,1.409065,1.430820
28,2.169532,0.481937,0.758806,-0.038324,-0.566365,-0.029083,0.750511,0.198874,-0.444547,0.672974
29,2.077857,-0.249940,0.342370,-0.038324,-0.028891,0.630721,0.116696,0.713807,-0.265166,0.121813
30,1.436135,0.763428,0.342370,0.214248,-0.745523,1.573298,0.327968,0.713807,-0.025990,-0.429348
31,0.886087,0.763428,1.294224,-0.669756,-1.282997,-0.123341,2.088564,0.484948,-0.803311,-0.704928
32,1.069437,0.876024,1.175242,-0.985472,-0.566365,0.065175,1.806869,0.942666,-0.803311,-0.567138
33,-0.672380,-1.375903,-1.501848,0.656251,1.404372,-0.594630,-1.150933,-1.345924,1.588447,0.259603
34,1.344460,0.707129,0.996769,-1.048616,-1.342716,0.347948,1.243478,0.599377,-1.162075,-0.291557
35,0.886087,0.538235,0.937279,-0.164611,-0.745523,-0.311856,1.313902,0.713807,-0.564135,-0.911613
36,-0.947404,-1.263307,-1.442357,0.908824,0.329424,0.065175,-1.080509,-1.174280,1.708035,0.397394
37,-0.122333,-1.094412,-0.609484,0.593108,0.807179,0.819237,-1.010085,-0.888206,1.229683,1.017450
38,-2.322523,-1.432201,-0.847448,0.466821,0.926617,-0.123341,-1.503052,-1.117065,1.648241,0.397394
39,-0.397357,-0.981816,-0.966430,1.098253,0.926617,1.573298,-0.728390,-0.716562,0.571950,1.637506
40,-0.672380,-1.038114,-1.263884,1.413969,1.404372,-0.029083,-1.362204,-1.174280,0.811126,0.604079
41,1.986182,0.256744,0.461352,-0.164611,-0.088611,0.630721,0.609663,0.427733,-0.564135,0.121813
42,1.619484,0.481937,0.758806,-0.164611,-0.745523,-0.217599,1.313902,0.542163,-0.564135,-0.153767
43,0.244365,1.213813,0.758806,-0.985472,-1.342716,-2.479784,-0.164999,2.201390,-0.982693,-1.118299
44,0.886087,0.200446,0.282879,0.529964,-0.506646,1.761814,0.961783,0.484948,0.033804,0.328499
45,0.336040,0.031551,0.104406,0.593108,0.508582,1.667556,-0.094575,-0.029985,-0.324959,1.293030
46,0.702738,0.876024,1.175242,-0.669756,-0.984400,-0.594630,1.806869,0.885451,-0.623929,-0.567138
47,-0.672380,-0.925518,-0.906939,0.908824,0.986337,-0.029083,-1.784747,-0.888206,0.571950,0.397394
48,0.061016,0.425639,0.639824,-1.553761,-1.163558,-1.442949,0.116696,1.743672,-1.281663,-1.049404
49,-0.030658,1.382708,0.699315,-1.364332,-1.103839,-1.725722,0.539240,1.400384,-1.281663,-1.118299
50,-0.305682,-0.812921,-0.490503,1.350826,1.404372,0.159432,-0.305847,-0.487703,0.452362,0.879659
51,2.077857,0.819726,0.996769,0.214248,0.508582,1.761814,0.609663,0.256089,-0.145578,0.535184
52,-0.397357,-0.756623,-0.549994,1.161396,1.284933,0.159432,-1.080509,-0.945421,0.930714,1.430820
53,-0.397357,-0.981816,-0.966430,0.593108,1.344653,0.819237,-0.728390,-0.716562,1.409065,0.948555
54,1.069437,0.481937,0.461352,-0.038324,-0.566365,-0.029083,1.454750,0.484948,-0.863105,-0.015977
55,-0.397357,-1.375903,-0.787957,1.477112,0.747460,0.630721,-0.235423,-1.231494,1.050302,0.879659
56,0.702738,-0.700325,0.044915,0.656251,0.448863,1.761814,0.116696,-0.029985,0.033804,0.741869
57,-0.855729,1.270111,0.461352,-1.174902,-1.342716,-1.348691,-0.657966,2.086960,-0.982693,-0.704928
58,-0.214007,0.425639,0.639824,0.340535,0.508582,1.856072,0.609663,0.198874,0.272980,0.879659
59,-1.039079,-1.038114,-0.728466,0.403678,1.344653,-0.783145,-1.080509,-0.716562,0.452362,1.017450
60,0.977762,-0.362536,-1.263884,0.845680,0.568302,1.479041,-0.164999,-0.373273,0.033804,1.361925
61,-0.030658,1.157515,1.948624,-1.238045,-1.282997,-1.537207,1.173054,0.542163,-1.341457,-1.118299
62,-0.305682,-0.249940,-0.431012,0.466821,0.747460,1.196267,-0.024151,-0.373273,0.392568,0.948555
63,-0.397357,-1.094412,-0.906939,1.350826,0.508582,-0.406114,-0.587542,-0.773776,1.169889,0.328499
64,1.161111,0.200446,0.639824,0.214248,-0.028891,0.724979,1.173054,0.427733,-0.085784,-0.222662
65,-0.397357,-0.812921,-0.787957,0.908824,0.926617,-0.029083,-1.010085,-0.716562,0.870920,1.499716
66,0.977762,0.481937,0.758806,0.087962,-0.805242,0.724979,1.384326,0.427733,-0.504341,-0.015977
67,1.527809,0.876024,1.234733,-0.796043,-0.745523,-1.065918,0.820935,0.599377,-1.221869,-0.360453
68,-0.122333,1.382708,1.234733,-1.238045,-1.282997,-0.217599,0.680087,1.514813,-1.341457,-1.531669
69,-0.855729,-1.038114,-1.680320,1.161396,0.747460,0.159432,-1.150933,-1.117065,1.528653,0.328499
70,0.244365,-0.024747,1.115751,-1.364332,-1.282997,-0.406114,1.736445,0.542163,-0.922899,-1.738355
71,-0.214007,-0.756623,-1.501848,1.035110,1.284933,0.819237,-0.446694,-0.659347,0.990508,1.568611
72,-0.397357,-0.475132,-0.193048,1.098253,0.628021,0.442206,-0.869237,-1.002635,0.691538,0.466289
73,-0.122333,-0.869219,-0.490503,1.287683,0.986337,-0.029083,-0.587542,-0.602132,0.571950,1.430820
74,-1.772475,-1.375903,-1.025921,0.908824,0.807179,-1.254434,-1.221357,-1.288709,1.409065,-0.153767
75,0.977762,-0.081045,0.401861,0.466821,0.269705,1.856072,0.187120,-0.373273,0.213186,1.017450
76,-0.855729,-0.869219,-1.263884,1.540256,1.165495,-0.594630,-1.573476,-1.117065,0.631744,0.121813
77,1.711159,0.425639,0.758806,-0.038324,-0.327488,0.442206,0.609663,0.484948,-0.444547,0.604079
78,0.152691,1.101217,1.770151,-1.364332,-1.163558,-0.594630,1.173054,0.713807,-1.162075,-0.842718
79,-1.864150,-0.869219,-1.204393,1.224540,1.165495,-0.783145,-1.291781,-1.231494,1.409065,0.052918
80,1.069437,0.594533,0.996769,-0.606613,-0.984400,-0.877403,1.666021,0.713807,-0.922899,-1.393879
81,-0.580706,1.833093,0.580333,-1.238045,-1.342716,-0.971661,0.539240,1.285954,-1.221869,-1.600565
82,-1.130753,-0.812921,-1.620829,1.350826,0.389144,0.630721,-0.446694,-0.945421,0.571950,1.706401
83,0.152691,1.382708,1.234733,-0.985472,-1.342716,-0.123341,0.609663,0.713807,-1.341457,-0.980509
84,0.061016,1.551602,0.044915,-1.301188,-1.462155,-1.160176,0.609663,1.457598,-1.281663,-1.393879
85,-0.122333,1.270111,1.413206,-0.922329,-0.984400,-0.406114,0.891359,1.171525,-1.162075,-1.118299
86,-0.030658,1.101217,1.829642,-0.859186,-1.521874,-1.160176,1.032206,0.599377,-1.221869,-1.187194
87,-0.030658,-1.094412,-1.501848,0.719394,1.464091,0.724979,-0.869237,-1.288709,1.289477,0.810764
88,0.152691,-1.094412,-0.728466,0.593108,1.046056,0.913494,-1.010085,-0.830991,0.930714,1.293030
89,1.527809,-0.024747,0.699315,-0.543470,-0.805242,0.819237,1.384326,0.313304,-0.145578,-0.015977
90,0.794413,-0.587729,-1.323375,1.350826,0.807179,1.667556,-0.376270,-0.544917,0.512156,1.844191
91,0.794413,0.707129,0.401861,-1.743191,-1.282997,-1.254434,1.806869,0.713807,-1.221869,-1.187194
92,2.169532,-0.137343,0.342370,0.593108,-0.566365,1.479041,1.313902,0.713807,-0.085784,-0.015977
93,-0.489031,-0.700325,-0.906939,0.845680,0.448863,-0.029083,-0.939661,-0.659347,1.229683,1.499716
94,-1.222428,-1.319605,-1.263884,0.971967,1.046056,-0.123341,-1.010085,-0.888206,1.169889,0.121813
95,0.519389,-0.137343,-0.252539,0.908824,0.568302,1.007752,-0.376270,-0.430488,0.870920,0.741869
96,-0.030658,-0.925518,-1.085412,0.151105,1.404372,0.347948,-0.587542,-0.544917,0.571950,1.430820
97,-1.405777,-1.207009,-0.847448,0.719394,0.747460,-0.029083,-0.869237,-1.174280,0.631744,0.466289
98,-1.314102,-0.981816,-1.085412,0.971967,0.687740,-0.217599,-2.066443,-1.403138,1.767829,0.741869
99,-0.580706,0.707129,0.699315,-1.806334,-1.044120,-1.254434,-0.164999,1.743672,-1.162075,-1.393879
100,-1.864150,1.213813,0.818297,-1.553761,-1.342716,-1.160176,0.327968,1.858102,-1.341457,-0.980509
101,-1.314102,-1.544798,-1.144902,0.277392,1.105775,-0.406114,-1.784747,-1.231494,1.289477,0.535184
102,0.061016,-0.644027,-0.609484,1.098253,0.329424,1.384783,-0.657966,-0.316058,0.512156,1.637506
103,-0.305682,-1.038114,-0.906939,1.035110,1.225214,-0.029083,-0.517118,-1.345924,1.409065,0.535184
104,-1.497451,-1.319605,-0.847448,0.403678,0.448863,-0.029083,-1.010085,-1.117065,1.169889,0.535184
105,-0.855729,-0.925518,-0.966430,1.287683,1.225214,0.159432,-0.798814,-1.174280,1.468859,0.397394
106,-0.305682,1.607900,1.115751,-1.238045,-1.103839,-0.311856,0.680087,0.942666,-1.341457,-1.393879
107,-0.397357,-1.094412,-1.085412,1.287683,0.687740,-0.029083,-0.446694,-0.716562,0.811126,1.499716
108,1.527809,-0.024747,0.520842,-0.038324,0.209986,0.913494,0.398392,0.484948,0.631744,0.741869
109,0.061016,-0.812921,-0.728466,0.403678,0.926617,0.347948,-0.446694,-0.888206,1.528653,0.672974
110,-0.305682,-0.812921,-0.490503,1.224540,0.508582,1.573298,-0.869237,-0.945421,0.272980,0.466289
111,1.802833,0.087849,1.056260,-0.480327,-0.208049,0.724979,0.891359,0.542163,-0.205372,0.466289
112,-2.597546,-1.263307,-1.323375,1.035110,1.105775,-0.217599,-1.221357,-1.231494,0.631744,0.259603
113,-1.955824,-0.869219,-0.966430,1.161396,0.807179,-1.065918,-2.136867,-0.544917,1.050302,0.397394
114,-0.672380,0.481937,0.401861,-1.806334,-0.984400,-1.725722,0.046273,1.743672,-1.221869,-1.393879
115,-1.130753,-0.700325,-1.263884,1.224540,0.926617,0.159432,-1.150933,-1.288709,1.409065,0.879659
116,-1.222428,-0.756623,-0.906939,1.603399,1.344653,-0.217599,-1.221357,-1.117065,1.050302,0.741869
117,-0.489031,-1.038114,-1.144902,1.098253,1.284933,-2.102753,-0.869237,-1.288709,0.811126,-0.773823
118,-0.672380,-1.150710,-0.847448,0.908824,1.284933,-0.123341,-1.925595,-1.231494,1.468859,0.604079
119,-0.947404,1.326409,0.520842,-0.796043,-1.521874,-0.971661,0.187120,1.915316,-1.102281,-0.980509
120,1.069437,0.650831,0.877788,-0.417184,-1.402435,-0.594630,1.736445,0.427733,-1.341457,-1.256089
121,-0.030658,0.538235,1.413206,-1.238045,-1.402435,-1.160176,1.666021,0.542163,-1.042487,-0.980509
122,-0.672380,-0.925518,-1.025921,0.340535,1.404372,-0.594630,-1.010085,-1.288709,0.930714,0.259603
123,-0.030658,1.213813,1.353715,-0.985472,-1.282997,-0.688887,0.468816,0.542163,-1.341457,-0.911613
124,-0.855729,1.382708,1.353715,-0.796043,-1.103839,-1.160176,-0.094575,0.656592,-1.042487,-1.256089
125,-0.489031,1.833093,0.342370,-0.796043,-1.223277,-1.348691,0.257544,1.514813,-1.341457,-1.049404
126,-2.230848,-1.207009,-1.323375,0.782537,1.046056,-0.217599,-1.150933,-1.345924,1.409065,0.672974
127,1.619484,0.650831,0.937279,0.593108,0.389144,1.950329,0.820935,0.313304,0.033804,0.672974
128,-2.047499,1.213813,1.413206,-1.174902,-1.462155,-0.594630,1.313902,0.599377,-1.162075,-0.704928
129,-0.580706,-0.587729,-0.847448,1.287683,1.404372,0.724979,-0.798814,-0.716562,0.213186,1.568611
130,-0.305682,1.607900,0.461352,-1.616904,-1.521874,-1.631465,0.539240,1.057095,-1.341457,-1.187194
131,-0.305682,0.876024,0.223388,-1.048616,-1.044120,-0.688887,0.539240,1.457598,-1.102281,-1.187194
132,-2.047499,-1.319605,-1.204393,1.161396,0.508582,-0.971661,-1.291781,-1.117065,0.990508,0.604079
133,-1.039079,-0.869219,-0.787957,-0.354040,1.464091,0.347948,-0.728390,-1.059850,1.409065,0.328499
134,0.886087,0.200446,0.461352,0.593108,-0.148330,1.856072,0.820935,0.313304,0.631744,0.879659
135,-0.305682,1.439006,0.163897,-1.048616,-0.805242,-0.688887,0.539240,0.885451,-1.102281,-0.842718
136,-1.772475,-1.038114,-1.085412,0.908824,1.523811,-0.311856,-1.010085,-1.231494,1.349271,0.672974
137,0.061016,-0.587729,-0.549994,0.340535,0.448863,0.347948,-0.305847,-0.087200,0.870920,0.810764
138,-0.305682,-1.319605,-1.204393,1.224540,1.523811,-0.123341,-1.080509,-0.659347,0.811126,0.604079
139,2.077857,0.876024,0.639824,-0.164611,-0.506646,1.007752,1.173054,0.084445,-1.221869,-0.429348
140,0.336040,1.157515,1.889133,-1.490618,-1.223277,-0.877403,1.032206,0.999880,-0.982693,-1.324984
141,-0.489031,-1.038114,-1.620829,0.214248,1.643249,0.159432,-1.221357,-0.830991,0.631744,0.190708
142,0.244365,-0.700325,-0.668975,1.161396,1.404372,1.573298,-0.376270,-0.602132,0.631744,1.499716
143,2.261206,0.707129,-0.490503,-0.669756,-0.506646,1.102010,1.173054,0.313304,-0.863105,-1.462774
144,-0.122333,1.382708,1.770151,-1.111759,-1.044120,-1.725722,1.102630,0.599377,-1.341457,-1.049404
145,0.152691,-0.812921,-0.847448,1.287683,0.508582,-0.217599,-0.869237,-0.888206,0.751332,1.430820
146,-0.855729,-0.925518,-0.906939,0.466821,1.284933,0.065175,-1.291781,-1.345924,1.648241,-0.015977
147,-0.030658,1.044918,1.889133,-0.922329,-1.402435,-0.971661,1.032206,0.713807,-1.162075,-1.738355
148,-0.030658,1.157515,1.829642,-1.174902,-1.044120,-0.500372,1.525173,0.999880,-0.743517,-1.669460
149,-0.030658,1.551602,0.520842,-1.364332,-1.342716,-0.971661,0.187120,1.285954,-1.281663,-1.462774
150,-0.305682,-1.038114,-0.728466,0.656251,0.150267,0.630721,-0.376270,-1.345924,0.930714,1.430820
151,2.077857,0.200446,1.115751,0.340535,0.030828,1.667556,0.750511,-0.544917,0.213186,0.604079
152,-0.030658,0.819726,0.580333,-1.616904,-1.462155,-1.348691,0.539240,1.800887,-1.102281,-1.807250
153,0.244365,-0.475132,-0.966430,1.161396,0.807179,0.724979,-0.728390,-0.773776,0.990508,1.293030
154,-0.122333,-0.925518,-1.085412,0.277392,1.046056,0.253690,-1.432628,-0.487703,0.571950,0.879659
155,0.427715,0.425639,0.580333,0.277392,0.030828,1.761814,0.609663,0.542163,0.093598,0.397394
156,-0.305682,0.707129,0.104406,-1.616904,-1.223277,-0.971661,0.468816,2.029746,-1.102281,-1.118299
157,-0.305682,1.270111,0.520842,-0.732900,-1.103839,-0.688887,0.609663,1.572028,-1.162075,-1.807250
158,2.169532,0.313042,0.580333,0.087962,0.030828,0.347948,0.609663,0.542163,-0.324959,0.328499
159,1.436135,0.707129,-0.252539,0.656251,0.269705,0.819237,0.609663,0.027230,0.512156,0.397394
160,-0.305682,1.326409,1.472697,-1.743191,-1.462155,-1.160176,1.102630,0.771022,-0.803311,-1.324984
161,-0.214007,-1.038114,-1.144902,0.656251,1.344653,-0.217599,-1.221357,-1.403138,0.811126,1.224135
162,-0.672380,-0.812921,-1.323375,0.593108,0.687740,0.065175,-1.291781,-1.231494,0.751332,0.810764
163,-1.680801,-1.094412,-1.204393,0.214248,0.747460,-0.311856,-1.573476,-1.174280,0.870920,0.466289
164,-1.039079,-1.544798,-1.561339,1.477112,0.628021,-0.217599,-1.362204,-1.174280,0.691538,-0.222662
165,-0.855729,-1.207009,-1.263884,0.593108,1.284933,0.159432,-1.221357,-1.288709,0.930714,0.604079
166,-0.764055,1.833093,0.104406,-1.048616,-1.342716,-1.065918,0.257544,1.457598,-1.341457,-1.669460
167,-0.947404,-0.812921,-1.501848,1.540256,1.583530,0.347948,-1.432628,-1.174280,1.110095,0.397394
168,-0.305682,1.833093,0.520842,-0.796043,-1.342716,-1.160176,0.539240,1.285954,-0.922899,-0.911613
169,-1.039079,-1.094412,-0.787957,1.224540,1.165495,-0.217599,-1.432628,-0.716562,1.767829,0.397394
170,0.152691,1.439006,1.353715,-0.922329,-1.342716,-0.406114,0.468816,0.828236,-1.401251,-1.118299
171,1.344460,0.650831,0.996769,-0.669756,-0.685804,0.630721,1.736445,0.599377,-1.221869,-1.049404
172,0.519389,-0.306238,-0.787957,1.161396,0.508582,1.573298,-0.305847,-0.487703,0.093598,0.948555
173,0.244365,1.270111,0.877788,-1.553761,-0.864962,-1.537207,0.539240,1.285954,-1.221869,-1.187194
174,-0.855729,-1.375903,-1.382866,-0.290897,0.807179,-0.217599,-0.939661,-1.288709,1.050302,0.672974
175,-1.130753,-0.812921,-1.323375,1.477112,0.747460,-0.406114,-1.150933,-0.773776,0.930714,0.397394
176,0.977762,0.087849,1.175242,-0.922329,-1.462155,-0.123341,1.525173,0.542163,-0.982693,-0.911613
177,1.436135,0.538235,0.937279,-0.354040,-0.566365,-0.688887,1.384326,-0.087200,-0.504341,-1.462774
178,-0.764055,-1.038114,-1.739811,0.971967,0.687740,-0.500372,-1.080509,-1.231494,1.588447,0.604079
179,0.519389,-0.587729,-0.431012,0.908824,0.448863,1.384783,-0.305847,-1.174280,0.631744,1.499716
180,-0.122333,1.101217,1.889133,-1.174902,-1.044120,-0.311856,1.454750,0.542163,-1.221869,-1.393879
181,-1.039079,-1.263307,-1.085412,0.782537,1.165495,-0.406114,-1.010085,-1.288709,0.870920,-0.360453
182,0.152691,-0.812921,-0.133557,0.593108,0.866898,1.007752,-0.517118,-0.258844,0.811126,1.293030
183,-0.672380,-1.544798,-0.906939,1.098253,0.866898,-0.500372,-1.291781,-1.345924,1.050302,0.741869
184,-0.489031,1.044918,0.639824,-1.743191,-1.402435,-1.348691,0.116696,1.800887,-0.863105,-0.704928
185,-0.855729,-1.319605,-1.382866,1.098253,1.404372,-0.406114,-0.939661,-1.403138,1.050302,0.397394
186,-0.305682,-0.925518,-1.442357,0.719394,0.628021,0.724979,-0.869237,-1.345924,1.289477,0.948555
187,2.169532,0.313042,1.056260,-0.985472,0.030828,-0.217599,0.750511,0.656592,-0.384753,0.259603
188,-0.030658,1.439006,0.461352,-1.111759,-0.984400,-1.348691,-0.798814,1.457598,-1.401251,-0.980509
189,-0.672380,-1.432201,-0.966430,0.403678,0.568302,0.724979,-0.587542,-0.830991,1.349271,0.948555
190,1.619484,0.707129,0.996769,-0.922329,-0.566365,0.819237,1.313902,0.256089,-0.205372,-0.704928
191,-0.397357,1.157515,1.234733,-1.174902,-1.044120,-0.311856,1.384326,1.285954,-1.341457,-1.118299
192,0.061016,-0.756623,-0.728466,0.403678,0.926617,0.630721,-0.446694,-0.716562,1.409065,1.430820
193,-0.489031,1.326409,0.937279,-1.364332,-0.984400,-0.783145,0.327968,2.086960,-1.401251,-1.049404
194,-1.222428,-1.150710,-1.739811,1.098253,1.046056,-0.217599,-1.221357,-0.716562,1.349271,0.466289
195,-0.672380,-0.531430,-0.252539,0.656251,0.568302,1.950329,-0.164999,-0.716562,0.631744,1.017450
196,1.802833,0.594533,0.639824,-1.553761,-0.566365,0.819237,1.173054,0.084445,-0.743517,-0.567138
197,-1.222428,-1.207009,-1.323375,1.350826,1.165495,0.630721,-1.010085,-1.174280,1.767829,-0.291557
198,0.336040,0.707129,1.353715,-0.922329,-1.282997,-0.217599,1.666021,0.828236,-0.743517,-0.842718
199,-0.305682,0.594533,1.829642,-1.111759,-1.223277,-1.725722,1.173054,0.141659,-1.162075,-1.049404
200,-0.489031,-1.038114,-1.204393,1.035110,0.986337,-0.123341,-1.010085,-1.288709,1.468859,0.741869
201,0.061016,-0.812921,-1.382866,0.656251,1.046056,0.065175,-1.221357,-1.288709,0.811126,0.604079
202,-0.305682,-0.981816,-0.906939,0.782537,0.807179,0.253690,-0.446694,-1.117065,0.870920,0.672974
203,-0.122333,1.270111,-0.014576,-0.859186,-1.044120,-1.537207,-0.024151,2.029746,-1.341457,-1.669460
204,-0.580706,-0.700325,-1.323375,0.908824,1.225214,0.630721,-0.587542,-1.231494,0.811126,0.741869
205,2.261206,0.707129,1.234733,-0.796043,-0.446927,1.007752,1.173054,0.256089,-0.564135,-1.049404
206,-0.305682,1.044918,0.223388,-1.743191,-1.342716,-2.479784,0.398392,2.086960,-1.401251,-1.462774
207,-0.030658,1.270111,0.639824,-1.490618,-1.402435,-1.537207,0.187120,1.400384,-1.162075,-1.876145
208,-0.489031,-0.981816,-0.966430,0.529964,0.926617,0.630721,-0.869237,-1.231494,0.571950,0.397394
209,-0.030658,1.495304,0.639824,-1.743191,-0.805242,-1.537207,0.539240,0.999880,-1.401251,-1.118299
210,-0.947404,-1.263307,-1.323375,0.529964,0.866898,0.630721,-1.221357,-0.945421,1.289477,0.328499
211,-0.764055,-1.094412,-1.263884,1.413969,0.926617,-1.348691,-1.362204,-0.888206,1.409065,0.052918
212,0.336040,-0.024747,-0.787957,0.593108,0.628021,2.044587,0.257544,-0.602132,-0.085784,1.017450
213,0.061016,1.270111,1.770151,-1.301188,-1.223277,-1.065918,0.609663,0.999880,-1.162075,-1.324984
214,-0.672380,-0.981816,-1.085412,0.529964,1.523811,0.724979,-0.869237,-1.231494,0.930714,0.052918
215,2.169532,0.538235,0.996769,-0.038324,-0.685804,0.159432,1.173054,0.370518,-0.384753,-0.015977
216,-0.214007,0.650831,0.461352,-1.553761,-1.103839,-2.008496,0.539240,2.029746,-1.341457,-1.324984
217,0.977762,-0.587729,-1.144902,-0.101468,0.389144,2.138845,-0.376270,-0.945421,0.213186,1.293030
218,0.061016,1.270111,1.413206,-0.732900,-1.282997,-0.406114,0.609663,0.828236,-1.221869,-1.256089
219,-0.214007,-0.700325,-1.263884,1.477112,1.464091,0.159432,-1.010085,-0.716562,0.571950,0.466289
220,0.427715,0.087849,0.758806,-0.669756,0.269705,0.065175,0.891359,-0.144414,0.392568,0.604079
221,-1.589126,-1.375903,-1.561339,0.782537,0.568302,-0.406114,-1.150933,-1.403138,0.512156,-0.015977
222,-0.489031,-1.038114,-1.025921,1.540256,0.448863,0.536463,-0.235423,-1.231494,0.571950,1.293030
223,0.886087,0.256744,0.699315,-0.732900,0.508582,1.290525,0.327968,0.427733,0.452362,0.741869
224,-0.214007,0.988620,0.461352,-1.048616,-1.044120,-1.537207,0.468816,1.915316,-1.401251,-1.393879
225,0.061016,-1.094412,-1.025921,1.224540,0.926617,0.724979,-0.587542,-0.659347,0.811126,0.397394
226,-0.122333,-1.319605,-1.382866,1.287683,1.344653,0.347948,-0.446694,-0.773776,0.751332,-0.084872
227,0.244365,0.481937,1.532187,-1.427475,-1.282997,-0.500372,1.525173,1.114310,-0.863105,-0.980509
228,-0.030658,-1.544798,-0.847448,1.413969,0.687740,0.819237,-0.517118,-1.117065,0.811126,1.361925
229,0.061016,1.607900,0.401861,-1.553761,-1.044120,-0.783145,0.891359,0.942666,-1.281663,-1.462774
230,0.061016,-1.094412,-1.025921,0.529964,1.344653,0.347948,-0.939661,-0.945421,0.392568,0.810764
231,-0.580706,-0.531430,-1.263884,1.224540,1.046056,1.007752,-0.446694,-0.716562,0.870920,1.499716
232,0.886087,0.369340,0.461352,0.340535,0.508582,1.950329,-0.446694,-0.087200,0.512156,1.155240
233,-0.214007,-1.375903,-1.382866,1.035110,0.807179,0.819237,-0.657966,-0.602132,0.332774,1.706401
234,-0.122333,-0.869219,-1.204393,0.782537,0.628021,0.159432,-1.362204,-1.231494,0.272980,0.397394
235,1.619484,0.313042,0.996769,-0.669756,-1.044120,-0.217599,1.595597,0.542163,-1.221869,-0.498243
236,-0.397357,1.270111,1.353715,-1.111759,-1.402435,-0.217599,0.820935,0.942666,-1.341457,-0.911613
237,-0.580706,0.087849,0.282879,0.340535,0.150267,2.044587,1.173054,0.599377,0.571950,0.397394
238,-0.122333,1.551602,1.234733,-1.238045,-1.402435,-0.217599,0.820935,0.942666,-1.221869,-1.118299
239,-0.855729,-0.531430,-0.133557,1.350826,0.389144,1.667556,-0.305847,-0.316058,0.392568,0.466289
